Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Pcx,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde1a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde1b,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde1c,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde3b,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde4a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde4b,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde6d,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde7a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde8a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde9a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde6b,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde6g,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pdha1,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pdha2,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Enpp1,CoA synthesis,,NAD metabolism,Starch and sucrose metabolism,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  ,  ,  
Enpp2,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pemt,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pepd,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pfkfb1,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pfkfb2,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pfkl,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pfkm,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgam1,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgk1,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgk2,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcb1b,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcb4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Phex,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Piga,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigf,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3c2a,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3c2g,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3ca,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3cd,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3r1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3r2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3r3,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pikfyve,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pip5k1c,Glycerophospholipid metabolism,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pip4k2a,Glycerophospholipid metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pip5k1b,Glycerophospholipid metabolism,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pip5k1a,Glycerophospholipid metabolism,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pkm,Glycolysis/gluconeogenesis,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pklr,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g1b,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g2a,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g2d,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g4a,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g5,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcb1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcb2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcb3,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcb4,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcd1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcd4,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcg1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pld1,Glycerophospholipid metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pld2,Glycerophospholipid metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pld3,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnliprp1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnliprp2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnmt,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnp,NAD metabolism,Nucleotide interconversion,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plpp1,Glycerophospholipid metabolism,Sphingolipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ctsa,Chondroitin sulfate degradation,Keratan sulfate degradation,N-glycan degradation,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Ppox,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ppt1,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prodh,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prps1,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Psap,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pipox,"Glycine, serine, alanine, and threonine metabolism",Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptdss1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pten,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptgds,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptgis,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptgs1,Eicosanoid metabolism,Fatty acid synthesis,"Transport, endoplasmic reticular","Transport, nuclear",  ,  ,  ,  ,  ,  ,  ,  ,  
Ptgs2,Eicosanoid metabolism,Fatty acid synthesis,"Transport, endoplasmic reticular","Transport, nuclear",  ,  ,  ,  ,  ,  ,  ,  ,  
Pts,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcd3,"Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pygm,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh1a2,Arginine and proline metabolism,Beta-Alanine metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Pyruvate metabolism,Tryptophan metabolism,Vitamin A metabolism,Vitamin C metabolism,  ,  ,  ,  
Rbp1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rbp2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rbp4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh5,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh16,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Renbp,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rhag,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ralbp1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rpia,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rrm1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rrm2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dhrs3,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsm3,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sat1,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Scd1,Fatty acid synthesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Scp2,Bile acid synthesis,"Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sord,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sgpl1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Shmt1,"Glycine, serine, alanine, and threonine metabolism",Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St3gal3,Blood group synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St3gal1,Glycosphingolipid metabolism,Keratan sulfate synthesis,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St3gal4,Glycosphingolipid metabolism,Keratan sulfate synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St3gal2,Glycosphingolipid metabolism,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St6galnac1,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St6galnac2,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St6galnac3,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St6galnac4,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St8sia1,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St8sia4,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St3gal5,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox7a2l,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc10a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc10a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc12a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc12a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc12a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc12a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc12a7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc13a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc16a1,D-alanine metabolism,Drug metabolism,"Transport, extracellular","Transport, mitochondrial","Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  
Slc16a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc16a7,D-alanine metabolism,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc17a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc34a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc18a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc19a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc1a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc1a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc1a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc1a6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc1a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc20a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc20a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a1,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a5,"Transport, endoplasmic reticular","Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a12,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc23a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a14,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a17,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a1,"Transport, extracellular","Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc34a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc3a1,Starch and sucrose metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc8a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc9a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Smpd1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Smpd2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sms,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Soat1,Cholesterol metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sod1,ROS detoxification,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sod2,ROS detoxification,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sod3,ROS detoxification,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sphk1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Spr,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sptlc2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sqle,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Scarb1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Srm,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sult2a1,Bile acid synthesis,Steroid metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sult1e1,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sult1a1,Cytochrome metabolism,Drug metabolism,Methionine and cysteine metabolism,Miscellaneous,Phenylalanine metabolism,Steroid metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  
Stra6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sts,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Phenylalanine metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Sucla2,C5-branched dibasic acid metabolism,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Suclg2,C5-branched dibasic acid metabolism,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcc8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcc9,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Suv39h1,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Synj2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Taldo1,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a6,Taurine and hypotaurine metabolism,"Transport, extracellular","Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tbxas1,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prdx2,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Th,Phenylalanine metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v0a2,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tk1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tkt,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp9,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dtymk,Nucleotide interconversion,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tph1,Tetrahydrobiopterin metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tpi1,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tpo,Androgen and estrogen synthesis and metabolism,Purine catabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tst,Methionine and cysteine metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tsta3,Aminosugar metabolism,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cmpk2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tyms,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tyr,Phenylalanine metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tyrp1,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ucp1,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ucp2,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ucp3,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc35a2,"Transport, endoplasmic reticular","Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugcg,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugdh,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt1a2,Bile acid synthesis,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2b5,Bile acid synthesis,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt8a,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dpysl3,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uck1,Nucleotide interconversion,Purine synthesis,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Umps,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uox,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Upp1,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcrq,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcrc1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Urod,Heme synthesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uros,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc32a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Vnn1,CoA catabolism,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Xdh,Drug metabolism,Nucleotide interconversion,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a18,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc30a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bpnt1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car14,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ggt5,Eicosanoid metabolism,Fatty acid oxidation,Glutathione metabolism,Leukotriene metabolism,Miscellaneous,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  
Hcst,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs2st1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Impdh1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Impdh2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aadat,Lysine metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mgll,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Neu2,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5e,NAD metabolism,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Papss1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Papss2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde10a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc26a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Eci2,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slco2a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc35a1,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcg2,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Btd,Biotin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
