mets,mets_name,genes,rxns,subsystems
pcholole_hs[c],1-Oleoylglycerophosphocholine (Delta 9),12908,HMR_3108,Fatty acid oxidation
phpyr[c],Keto-Phenylpyruvate,12934,HMR_6595,Inositol phosphate metabolism
phpyr[e],Keto-Phenylpyruvate,12974,HMR_3246,Fatty acid oxidation
CE2433[m],"Trans,Cis,Cis-2,7,10-Hexadecatrienoyl Coenzyme A",13016,NTD4l,Pyrimidine catabolism
CE2418[m],"(3S)-3-Hydroxy-Cis,Cis-Palmito-7,10-Dienoyl Coenzyme A",13026,HMR_2368,Fatty acid synthesis
CE5155[c],Docosenoyl Coenzyme A,13070,ETFQO,Fatty acid oxidation
M01727[c],Docosenoylcarnitine,13074,NTD9l,Purine catabolism
pan4p[c],Pantetheine 4-Phosphate,13075,HMR_2773,"Transport, mitochondrial"
ptth[c],Pantetheine,13076,PCHOLN2254_HSPLA2,Glycerophospholipid metabolism
crm_hs[c],N-Acylsphingosine,13077,HMR_3636,Cholesterol metabolism
crm_hs[r],N-Acylsphingosine,13078,CHOLtu,"Transport, extracellular"
h[l],Proton,13106,MI134PP,Inositol phosphate metabolism
so4[l],Sulfate,13113,GSNt,"Transport, extracellular"
succoa[m],Succinyl Coenzyme A,13116,UMPK5,Nucleotide interconversion
prostge2[c],Prostaglandin E2,13117,GLCURtly,"Transport, lysosomal"
prostgh2[c],Prostaglandin H2,13121,HMR_0240,"Transport, extracellular"
pchol2ste_hs[c],2-Stearoylglycerophosphocholine,13122,NEU24,Sphingolipid metabolism
h2o[g],Water,13124,r0403,Tetrahydrobiopterin metabolism
crm_hs[g],N-Acylsphingosine,13139,4HOXPACDOX_NADP,Tyrosine metabolism
cholp[g],Choline Phosphate,13142,HMR_2946,Fatty acid synthesis
sphmyln_hs[g],Sphingomyelin,13162,HMR_2955,Fatty acid synthesis
CE5148[c],3(S)-Hydroxy-11-Cis-Eicosenoyl Coenzyme A,13166,HMR_0820,Glycosphingolipid metabolism
CE5150[c],"Trans,Cis-2,11-Eicosadienoyl Coenzyme A",13167,HMR_2659,"Transport, mitochondrial"
h2o2[c],Hydrogen Peroxide,13171,PTRCAT1,Arginine and proline metabolism
nh4[c],Ammonium,13177,HMR_3063,Fatty acid oxidation
id3acald[c],Indol-3-Ylacetaldehyde,13178,SMS1,Glycerophospholipid metabolism
trypta[c],Tryptamine,13180,ACP1_FMN,Vitamin B2 metabolism
pcholeic_hs[e],"1-Eicosadienoylglycerophosphocholine (Delta 11,14)",13195,PAN4PP,CoA catabolism
ppa[m],Propionate,13244,PNTEH,CoA catabolism
7thf[e],Heptaglutamyl Folate (Thf),13340,SPHINGStg,"Transport, golgi apparatus"
udpacgal[g],Uridine-5-Diphosphate-N-Acetyl-D-Galactosamine,13350,RE2649C,Bile acid synthesis
cs_hs_linkage[g],Chondroitin Sulfate/Heparan Sulfate Linkage Region (Glca-(Gal)2-Xyl-L-Ser (Protein)),13358,GLCAT9g,Chondroitin synthesis
asn__L[c],L-Asparagine,13360,r0450,Lysine metabolism
asn__L[e],L-Asparagine,13361,G14T2g,Keratan sulfate synthesis
pa_hs[c],Phosphatidate,13370,r0097,Miscellaneous
pa_hs[n],Phosphatidate,13371,HMR_0302,Fatty acid oxidation
ttccoa[c],Tetracosanoyl Coenzyme A,13382,FAOXC12DCTc,Fatty acid oxidation
malcoa[c],Malonyl Coenzyme A,13479,CSNATm,Fatty acid oxidation
3ohxccoa[c],3-Oxohexacosyl Coenzyme A,13487,UMPK2,Nucleotide interconversion
6dhf[e],Hexaglutamyl Folate (Dhf),13521,RE1527M,Fatty acid oxidation
hpdece[m],Trans-Delta-2-Heptadecanoic Acid,13595,r0649_1,Miscellaneous
xoldioloneh[c],"7Alpha,12Alpha-Dihydroxy-5Beta-Cholestan-3-One",13806,SQLEr,Cholesterol metabolism
xoltriol[c],"5Beta-Cholestane-3Alpha,7Alpha,12Alpha-Triol",13807,HMR_2634,"Transport, mitochondrial"
biocyt[e],Biocytin,13808,PIK5,Inositol phosphate metabolism
amet[c],S-Adenosyl-L-Methionine,13861,r1174,Miscellaneous
ametam[c],S-Adenosylmethioninamine,13885,HMR_3635,Cholesterol metabolism
M00017[c],13Z-Eicosenoic Acid,14042,PRFGS,Purine synthesis
M00018[c],13Z-Eicosenoyl Coenzyme A,14043,HMR_2259,Fatty acid synthesis
pcholmyr_hs[e],1-Myristoylglycerophosphocholine,140483,HMR_2736,Fatty acid oxidation
M02976[c],Tetradecenoylcarnitine(9),140494,PEOLE_HSPLA2,Glycerophospholipid metabolism
M02976[m],Tetradecenoylcarnitine(9),14077,r2122,"Transport, extracellular"
M00010[r],"11Z,14Z,17Z-Eicosatrienoic Acid",14080,r2121,"Transport, extracellular"
M00012[r],"11Z,14Z,17Z-Eicosatrienoyl Coenzyme A",14081,HMR_7330,"Transport, golgi apparatus"
35cgmp[c],"3,5-Cyclic Guanosine Monophosphate",14085,LCAT30e,Cholesterol metabolism
gtp[c],Guanosine-5-Triphosphate,140919,PCREATtmdiffir,Urea cycle
pear_hs[e],1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine,14104,4HATVLACthc,Drug metabolism
pear_hs[c],1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine,14120,SERt2r,"Transport, extracellular"
dkmpp[c],"2,3-Diketo-5-Methylthio-1-Phosphopentane",14121,LCAT31e,Cholesterol metabolism
5mdru1p[c],5-Methylthio-5-Deoxy-D-Ribulose 1-Phosphate,14137,r1762,"Transport, extracellular"
gmp[c],Guanosine-5-Monophosphate,14151,PCHOL_HStn,"Transport, nuclear"
akg[c],2-Oxoglutarate,14187,DURIK1,Nucleotide interconversion
succ[c],Succinate,14194,R01803,Aminosugar metabolism
pro__L[c],L-Proline,14204,AMETt2m,"Transport, mitochondrial"
4hpro_LT[c],Trans-4-Hydroxy-L-Proline,14245,HMR_2537,Fatty acid synthesis
dcyt[n],Deoxycytidine,142681,RE1834X,Bile acid synthesis
dcyt[c],Deoxycytidine,14275,PCHOLN203_HSPLA2,Glycerophospholipid metabolism
tmndnccoa[c],"Eicosa-5,8,11,14,17-All-Cis-Pentaenoyl Coenzyme A",14276,HMR_3175,Fatty acid oxidation
CE4819[c],"3-Oxo-Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A",14287,PYRt2,"Transport, extracellular"
6pgc[c],6-Phospho-D-Gluconate,14317,GND,Pentose phosphate pathway
6pgl[c],"6-Phospho-D-Glucono-1,5-Lactone",14319,HMR_1102,Leukotriene metabolism
lnlccoa[c],Linoleic Coenzyme A,14325,r2094,"Transport, extracellular"
lnlccoa[x],Linoleic Coenzyme A,14345,HMR_2965,Fatty acid synthesis
pcreat[c],Phosphocreatine,14347,HMR_3058,Fatty acid oxidation
Asn_X_Ser_Thr[l],Protein Asparagine,14348,HMR_2434,Fatty acid synthesis
n2m2nm[l],N2M2Nmasn (W/O Peptide Linkage),14377,HMR_3099,Fatty acid oxidation
n2m2nmasn[l],"N-Acetyl-Beta-D-Glucosaminyl-1,2-Alpha-D-Mannosyl-1,3-(N-Acetyl-Beta-D-Glucosaminyl-1,2-Alpha-D-Mannosyl-1,6)-(N-Acetyl-Beta-D-Glucosaminyl-1,4)-Beta-D-Mannosyl-1,4-N-Acetyl-Beta-D-Glucosaminyl-R",14378,DESAT24_1,Fatty acid synthesis
didecaeth[e],"C12:0-Ethanolamide, Didecanoyl Ethanolamide",14381,S3T3g,Chondroitin synthesis
M00343[r],"13Z,16Z,19Z-Docosatrienoyl Coenzyme A",14385,XSERtg,"Transport, golgi apparatus"
M01460[r],"Cholesterol-Ester-13,16,19-Doco",14387,PCHOLN225_HSABCt,"Transport, extracellular"
hdcoa[c],Palmitoleyl Coenzyme A,14411,DIHOLINETH,Glycerophospholipid metabolism
CE5160[c],3-Oxo-Cis-9-Octadecenoyl Coenzyme A,14412,FACOAE140,Fatty acid oxidation
CE2432[m],"Trans-2-Cis,Cis-5,8-Tetradecatrienoyl Coenzyme A",14415,GLCNACT5g,Chondroitin synthesis
CE5117[m],"(3E,5Z,8Z)-Tetradecatrienoyl Coenzyme A",14417,SPHINGStr,"Transport, endoplasmic reticular"
pnto__R[c],(R)-Pantothenate,14420,r1380,Cholesterol metabolism
4ppan[c],D-4-Phosphopantothenate,14421,r1259,Fatty acid oxidation
pe_hs[r],Phosphatidylethanolamine,14422,r2261,"Transport, extracellular"
lnlncg[l],Gamma-Linolenate,14423,DHAAt1r,"Transport, extracellular"
xolest183_hs[l],"1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",14425,HMR_1651,Steroid metabolism
Rtotal[r],R Total,14426,RE3242C,Fatty acid synthesis
phcrm_hs[r],Phytoceramide,14430,SMVGLUChep,Drug metabolism
phsphings[r],Phytosphingosine,14431,CRVSM1hr,Drug metabolism
M02491[c],Monosialylgalactosylgloboside,14433,L_LACt2r,"Transport, extracellular"
M03131[c],V3(Neuac)2-Gb5Cer ((Gal)3 (GalNAc)1 (Glc)1 (Neu5Ac)2 (Cer)1),14447,HMR_2668,"Transport, mitochondrial"
CE4800[m],"3(S)-Hydroxy-2(S),6-Dimethyl-Heptanoyl Coenzyme A",14450,HMR_6385,"Transport, endoplasmic reticular"
CE4796[m],3-Oxo-(2S)-Methylisocapryloyl Coenzyme A,14466,3HLYTCL,Tyrosine metabolism
HC02200[c],"1-(S-Glutathionyl)-2,4-Dinitrobenzene",14537,PCHOLDEIC_HSPLA2,Glycerophospholipid metabolism
HC02200[e],"1-(S-Glutathionyl)-2,4-Dinitrobenzene",14544,OCTDECCACT,Fatty acid oxidation
akg[x],2-Oxoglutarate,14555,HMR_0963,Arachidonic acid metabolism
co2[x],Carbon Dioxide,14571,EX_HC02160_e,Exchange/demand reaction
phyt2ohcoa[x],2-Hydroxyphytanoyl Coenzyme A,14583,RE0915E,Starch and sucrose metabolism
phytcoa[x],Phytanoyl Coenzyme A,14584,TYROXDAc,Tyrosine metabolism
succ[x],Succinate,14590,PRGNLONEtm,"Transport, mitochondrial"
10fthf[c],10-Formyltetrahydrofolate,14593,MALTly,Starch and sucrose metabolism
thf[c],"5,6,7,8-Tetrahydrofolate",14595,41R1H2MAE12BOOX,Tyrosine metabolism
gar[c],N1-(5-Phospho-D-Ribosyl)Glycinamide,14598,HMR_2712,"Transport, mitochondrial"
fgam[c],N2-Formyl-N1-(5-Phospho-D-Ribosyl)Glycinamide,14626,r2102,"Transport, extracellular"
akg[e],2-Oxoglutarate,14629,4AABUTNt,"Transport, extracellular"
pyr[e],Pyruvate,14630,PEDH161_HSPLA2,Glycerophospholipid metabolism
malttr[e],Maltotriose,14635,DADK,Nucleotide interconversion
M02451[e],Maltotetraose,14645,HMR_3629,Cholesterol metabolism
thyox__L[e],L-Thyroxine,14651,PCHOLDOC_HSABCt,"Transport, extracellular"
thyox__L[c],L-Thyroxine,14660,BTND1n,Biotin metabolism
10fthf5glu[l],10-Formyltetrahydrofolate-[Glu](5),14661,HMR_2288,Fatty acid synthesis
10fthf[l],10-Formyltetrahydrofolate,14664,CHOLPtn,"Transport, nuclear"
glu__L[l],L-Glutamate,14667,HMR_3408,Fatty acid oxidation
lac__D[m],(R)-Lactate,14711,HMR_3710,Cholesterol metabolism
lgt__S[m],(R)-S-Lactoylglutathionate,14718,RDH1a,Vitamin A metabolism
gthrd[m],Reduced Glutathione,14719,HEPDECETH,Glycerophospholipid metabolism
acnam[l],N-Acetylneuraminate,14732,RE1520M,Fatty acid oxidation
CE4846[c],"Trans,Cis,Cis,Cis-2,10,13,16-Docosatetraenoyl Coenzyme A",14751,GCC2cm,"Glycine, serine, alanine, and threonine metabolism"
CE4847[c],"10Z,13Z,16Z-Docosatrienoyl Coenzyme A",14775,LNELDCCPT2,Fatty acid oxidation
r1p[c],Alpha-D-Ribose 1-Phosphate,14776,HISt4,"Transport, extracellular"
pcholmyr_hs[c],1-Myristoylglycerophosphocholine,14778,r0355,Glycolysis/gluconeogenesis
pail34p_hs[c],"1-Phosphatidyl-1D-Myo-Inositol 3,4-Bisphosphate",14780,HMR_2775,"Transport, mitochondrial"
pail3p_hs[c],1-Phosphatidyl-1D-Myo-Inositol 3-Phosphate,14782,GLPASE2,Starch and sucrose metabolism
M00101[r],"5Z,8Z,11Z-Eicosatrienoyl Coenzyme A",14854,O2St,"Transport, extracellular"
M01469[r],"Cholesterol-Ester-5,8,11-Eico",14874,PCHOL2PALM_HSPLA2,Glycerophospholipid metabolism
sphmyln18117_hs[e],"Sm (D18:1/17:0), Sphingomyelin",14913,HMR_3110,Fatty acid oxidation
hepdeceth[e],Heptadecanoyl Thanolamide (C17:0),14917,DIDECAETH,Glycerophospholipid metabolism
M02612[c],Nonadecanoyl Coenzyme A,14919,NTD3,Pyrimidine catabolism
M00873[c],3-Oxoheneicosanoyl Coenzyme A,14923,HMR_7711,"Transport, lysosomal"
pe_hs[e],Phosphatidylethanolamine,14933,SMVthep,Drug metabolism
peste_hs[e],1-Stearoylglycerophosphoethanolamine,14936,DESAT18_6,Fatty acid synthesis
pi[l],Orthophosphate,14979,HMR_3203,Fatty acid oxidation
atp[m],Adenosine Triphosphate,15107,3M4HDXPAC,Tyrosine metabolism
adp[m],Adenosine Diphosphate,15108,HMR_3116,Fatty acid oxidation
ctp[m],Cytidine-5-Triphosphate,15109,BGAL1e,Sphingolipid metabolism
cdp[m],Cytidine-5-DIphosphate,15112,ACONTm,Citric acid cycle
4hexdtetcoa[x],"4,7,10,13-Hexadecatetraenoyl Coenzyme A",15116,EX_no_e,Exchange/demand reaction
hexdpencoa[x],"2,4,7,10,13-Hexadecapentaenoyl Coenzyme A",15117,C226CPT2,Fatty acid oxidation
M00778[c],3-Hydroxyheneicosanoyl Coenzyme A,15118,FORtr,"Transport, endoplasmic reticular"
tdcoa[r],Myristoyl Coenzyme A,15186,GGH_6THFe,Folate metabolism
M01501[r],Cholest-5-En-3Beta-Yl Tetradecanoate,15203,NAGLCAly,Keratan sulfate degradation
ala_B[m],Beta-Alanine,15211,HMR_2961,Fatty acid synthesis
ala_B[c],Beta-Alanine,15212,DHORTS,Pyrimidine synthesis
pcholn1836_hs[e],"1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12)",15233,SPHK21c,Sphingolipid metabolism
pcholn1836_hs[c],"1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12)",15275,HMR_3242,Fatty acid oxidation
hdca[r],Hexadecanoate (N-C16:0),15277,C161CRN2t,Fatty acid oxidation
CE4852[c],"Trans,Cis,Cis,Cis,Cis-2,10,13,16,19-Docosapentaenoyl Coenzyme A",15288,HMR_3736,Cholesterol metabolism
andrstrn[r],Androsterone,15356,HMR_0434,Fatty acid oxidation
nadph[r],Nicotinamide Adenine Dinucleotide Phosphate - Reduced,15357,C181CRNt,Fatty acid oxidation
nadp[r],Nicotinamide Adenine Dinucleotide Phosphate,15360,SUCCtp,"Transport, peroxisomal"
andrstandn[r],"5Alpha-Androstane-3,17-Dione",15368,EX_ditp_e,Exchange/demand reaction
nh4[e],Ammonium,15369,r0319,Miscellaneous
accoa[m],Acetyl Coenzyme A,15445,HMR_0293,Fatty acid synthesis
M00899[m],3-Oxopentanoyl Coenzyme A,15450,CMPSASn,Aminosugar metabolism
prostgd2[c],Prostaglandin D2,15452,S23T4g,Keratan sulfate synthesis
ksii_core2_deg8[l],"Keratan Sulfate Ii (Core 2-Linked), Degradation Product 8",15476,HOCTDACBP,Fatty acid oxidation
ksii_core2_deg9[l],"Keratan Sulfate Ii (Core 2-Linked), Degradation Product 9",15478,HMR_2354,Fatty acid synthesis
cmpglna[c],CMP-N-glycoloylneuraminate,15483,S3T2g,Chondroitin synthesis
CE2838[c],Maltononaose,15484,PETHCT,Glycerophospholipid metabolism
M02446[c],Maltoheptaose,15485,GLCATg,Chondroitin synthesis
3m4hpga[c],3-Methoxy-4-Hydroxyphenylglycolaldehyde,15486,DAGK_hs,Glycerophospholipid metabolism
3mox4hoxm[c],3-Methoxy-4-Hydroxymandelate,15487,r0548,Miscellaneous
tmndnccoa[r],"Eicosa-5,8,11,14,17-All-Cis-Pentaenoyl Coenzyme A",15488,DPCOAKm,CoA synthesis
M01468[r],"Cholest-5-En-3Beta-Yl (5Z,8Z,11Z,14Z,17Z-Eicosapentaenoate)",15490,r0968,"Transport, endoplasmic reticular"
glc__D[r],D-Glucose,15492,r1454,"Transport, mitochondrial"
dolglcp__L[r],"Dolichyl Beta-D-Glucosyl Phosphate, Human Liver Homolog",15493,HMR_3230,Fatty acid oxidation
dolp__L[r],Dolichyl Phosphate,15494,C02712te,"Transport, extracellular"
M00852[c],3-Oxo-9-Cis-Eicosenoyl Coenzyme A,15497,PHEACGLYsec,"Transport, extracellular"
M00707[c],3(S)-Hydroxy-9-Cis-Eicosenoyl Coenzyme A,15531,PE224_HSPLA2,Glycerophospholipid metabolism
M01141[m],5Z-Tetradecenoyl Coenzyme A,15567,CRVSthc,Drug metabolism
ksii_core2[e],Keratan Sulfate Ii (Core 2-Linked),15926,r2107,"Transport, extracellular"
ksii_core2[l],Keratan Sulfate Ii (Core 2-Linked),15929,PROFVSCOAhc,Drug metabolism
mi1345p[c],"1D-Myo-Inositol 1,3,4,5-Tetrakisphosphate",15930,HMR_1928,Steroid metabolism
mi134p[c],"1D-Myo-Inositol 1,3,4-Trisphosphate",16204,HMR_2731,"Transport, mitochondrial"
HC01668[c],Propinol Adenylate,16329,HMR_3645,Cholesterol metabolism
xolest183_hs[c],"1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",16330,CLS_hs,Glycerophospholipid metabolism
galgluside_hs[g],Galactosyl Glucosyl Ceramide,16331,VLCSp,Bile acid synthesis
uacgam[g],Uridine-5-Diphosphate-N-Acetyl-Alpha-D-Glucosamine,16332,FAOXC13BRC11BRx,Fatty acid oxidation
adrncrn[c],Ocosatetraenoylcarnitine,16430,EX_diholineth_e,Exchange/demand reaction
adrncrn[m],Ocosatetraenoylcarnitine,16434,r1671,"Transport, extracellular"
CE4793[c],3-Oxo-Dihomo-Gama-Linolenoyl Coenzyme A,16514,B3GALT41g,Sphingolipid metabolism
o2[m],Oxygen,16523,DOCOSACTDr,Fatty acid oxidation
h2o2[m],Hydrogen Peroxide,16548,CMPACNAtn,"Transport, nuclear"
CE0785[m],"Cis,Cis-Myristo-5,8-Dienoyl Coenzyme A",16591,PPNCL3,CoA synthesis
M01083[c],"7Alpha,24Alpha-Dihydroxy-5Beta-Cholestan-3-One",16592,LNLCCPT1,Fatty acid oxidation
M01080[c],"5Beta-Cholestane-3Alpha,7Alpha,24-Triol",16770,LTDCL,Tryptophan metabolism
bilirub[c],Bilirubin,16790,PEAR_HSPLA2,Glycerophospholipid metabolism
glutcoa[m],Glutaryl Coenzyme A,16816,ALDD20x,Tryptophan metabolism
b2coa[m],Crotonoyl Coenzyme A,16828,HMR_0597,Glycerophospholipid metabolism
q10[m],Ubiquinone-10,16832,HPROb,Arginine and proline metabolism
q10h2[m],Ubiquinol-10,16833,r2244,"Transport, extracellular"
hs_pre4[g],Glca-GlcNac-Glca-GlcNac-Glca-Gal-Gal-Xyl-L-Ser (Protein),16889,AICART,Purine synthesis
hs_pre5[g],(GlcNac-Glca)2-GlcNac-Glca-Gal-Gal-Xyl-L-Ser (Protein),16890,HMR_2704,"Transport, mitochondrial"
M00123[c],"8Z,11Z-Eicosadienoyl Coenzyme A",16891,HMR_9804,Propanoate metabolism
M03017[c],"Trans,Cis-2,8,11-Eicosatrienoyl Coenzyme A",16922,HMR_0243,"Transport, extracellular"
cmp[g],Cytidine 5-Monophosphate,16956,HMR_0823,Glycosphingolipid metabolism
cmpacna[g],Cytidine-5-Monophosphate-N-Acetyl-Beta-Neuraminate,16987,HMGLm,Cholesterol metabolism
gm1b_hs[g],Gm1B,16993,CHAT,Glycerophospholipid metabolism
gd1a_hs[g],N-Acetylneuraminosyl-D-Galactosyl-N-Acetyl-D-Galactosaminyl-(N-Acetylneuraminosyl)-D-Galactosyl-D-Glucosylceramide Dianion,17001,PE203_HSPLA2,Glycerophospholipid metabolism
cholp[c],Choline Phosphate,17025,CYTK12n,Nucleotide interconversion
7dhf[e],Heptaglutamyl Folate (Dhf),170439,HMR_1747,Bile acid synthesis
M02613[r],Nonadecanoic Acid,170441,r2086,"Transport, extracellular"
M01502[r],Cholest-5-En-3Beta-Yl Nonadecanoate,170442,r0860,Purine catabolism
ahcys[m],S-Adenosyl-L-Homocysteine,170716,TAURt4_2_r,"Transport, extracellular"
amet[m],S-Adenosyl-L-Methionine,170718,SMS16,Glycerophospholipid metabolism
sphs1p[r],Sphingosine 1-Phosphate,170768,MALTSULtm,"Transport, mitochondrial"
sphs1p[c],Sphingosine 1-Phosphate,170789,DPGM,Glycolysis/gluconeogenesis
CE4847[m],"10Z,13Z,16Z-Docosatrienoyl Coenzyme A",170835,HOMOVALte,"Transport, extracellular"
M01238[r],9Z-Heptadecenoic Acid,171167,RE3146R,Fatty acid oxidation
M01485[r],Cholesterol-Ester-9-Heptade,171168,AGPAT1_1,Triacylglycerol synthesis
zymst[r],Zymosterol,17117,PACCOALm,Phenylalanine metabolism
chlstol[r],"5Alpha-Cholesta-7,24-Dien-3Beta-Ol",171210,OCTDECE1CRNe,Fatty acid oxidation
pcholpalm_hs[e],1-Palmitoylglycerophosphocholine,171212,VACCCPT2,"Transport, mitochondrial"
pcholpalm_hs[c],1-Palmitoylglycerophosphocholine,171281,HMR_3725,Cholesterol metabolism
M00008[e],"11Z,14Z-Eicosadienoic Acid",171282,HMR_1637,Bile acid synthesis
M00008[c],"11Z,14Z-Eicosadienoic Acid",171405,MLTHFte,"Transport, extracellular"
galgluside_hs[c],Galactosyl Glucosyl Ceramide,171429,RE3165C,Fatty acid oxidation
gm3_hs[c],Alpha-N-Acetylneuraminosyl-(2->3)-Beta-D-Galactosyl-(1->4)-Beta-D-Glucosylceramide,171567,HMR_3065,Fatty acid oxidation
strdnccoa[c],Stearidonoyl Coenzyme A,17159,PI5P4K,Inositol phosphate metabolism
strdnccoa[x],Stearidonoyl Coenzyme A,17161,HMR_2540,Fatty acid synthesis
dhor__S[c],(S)-Dihydroorotate,17250,PEAMNO,Phenylalanine metabolism
orot[c],Orotate,17252,PEDH203_HSABCt,"Transport, extracellular"
occoa[m],Octanoyl Coenzyme A (N-C8:0 Coenzyme A),17254,CYTK3n,Nucleotide interconversion
HC01415[m],(2E)-Octenoyl Coenzyme A,17330,NH4tp,"Transport, peroxisomal"
strdnc[r],"Stearidonic Acid C18:4, N-3",17339,GTHPm,Glutathione metabolism
stcoa[r],Stearoyl Coenzyme A (N-C18:0 Coenzyme A),17423,ACACT1x,Cholesterol metabolism
thcholstoic[m],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestanoate",17436,TAUPAT1c,"Transport, extracellular"
CE4872[m],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-27-Al",17448,HMR_2265,Fatty acid synthesis
g3p[c],Glyceraldehyde 3-Phosphate,17449,CORE2GTg,O-glycan metabolism
dhap[c],Dihydroxyacetone Phosphate,17708,PCHOLN264_HSABCt,"Transport, extracellular"
hpdca[r],Margaric Acid,17709,HMR_6975,Lysine metabolism
M01495[r],Cholest-5-En-3B-Yl (Heptadecanoate),17710,RE3011R,Eicosanoid metabolism
M00790[c],3-Hydroxynonadecanoyl Coenzyme A,17711,RE3012M,Eicosanoid metabolism
M00054[c],(2E)-Nonadecenoyl Coenzyme A,17716,ORPT,Pyrimidine synthesis
pppg9[c],Protoporphyrinogen Ix,17717,EX_4mptnl_e,Exchange/demand reaction
cpppg3[c],Coproporphyrinogen Iii,17718,DOCO13EFATP,Fatty acid oxidation
M03051[c],Tridecanoic Acid,17719,RE3189M,Fatty acid oxidation
M03050[c],Tridecanoyl Coenzyme A,17720,LDH_D,Pyruvate metabolism
pcholn224_hs[e],"1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16), Sn1-Lpc (22:4)",17721,LCADi_D,Pyruvate metabolism
gq1b_hs[c],Gq1B,17722,CYTK8n,Nucleotide interconversion
gt1b_hs[c],Gt1B,17768,r1815,"Transport, extracellular"
M01775[m],Eicosenoylcarnitine(11),17769,FACOAL150,Fatty acid oxidation
M01236[m],9Z-Eicosenoyl Coenzyme A,17850,LYSt5r,"Transport, extracellular"
M02457[c],"5Z,8Z,11Z-Eicosatrienoic Acid",17855,HMR_3446,Fatty acid synthesis
M00101[c],"5Z,8Z,11Z-Eicosatrienoyl Coenzyme A",17919,CSNATr,Fatty acid oxidation
M01238[c],9Z-Heptadecenoic Acid,17939,HMR_3654,Cholesterol metabolism
M01237[c],9Z-Heptadecenoyl Coenzyme A,17991,CK_cho,Urea cycle
paps[c],3-Phosphoadenylyl Sulfate,17992,TRIODTHYt2,"Transport, extracellular"
paps[g],3-Phosphoadenylyl Sulfate,17993,10FTHF7GLUtl,"Transport, lysosomal"
ksii_core2_pre8[g],"Keratan Sulfate Ii Biosynthesis, Precursor 8",17995,HMR_2611,Fatty acid oxidation
ksii_core2_pre9[g],"Keratan Sulfate Ii Biosynthesis, Precursor 9",18010,HMR_2764,"Transport, mitochondrial"
pap[g],"Adenosine 3,5-Bismonophosphate",18102,GALT2g,Chondroitin synthesis
octa[e],Octanoate (N-C8:0),18103,MINOHPtn,"Transport, nuclear"
octa[c],Octanoate (N-C8:0),18104,PEOLE_HSABCt,"Transport, extracellular"
malcoa[m],Malonyl Coenzyme A,18115,HMR_2690,Fatty acid oxidation
M03168[m],3-Oxopropionyl Coenzyme A,18125,RE3006M,Fatty acid oxidation
udpgal[g],Uridine-5-Diphosphate-D-Galactose,18126,HMR_0241,Fatty acid synthesis
ksii_core4_pre9[g],"Keratan Sulfate Ii Biosynthesis, Precursor 9",18127,HMR_1392,"Transport, endoplasmic reticular"
ksii_core4_pre10[g],"Keratan Sulfate Ii Biosynthesis, Precursor 10",18145,HMR_1749,Bile acid synthesis
pe161_hs[e],"1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)",18160,HMR_3219,Fatty acid oxidation
pe161_hs[c],"1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)",18174,PCt,"Transport, extracellular"
sphmyln18118_hs[e],"Sm (D18:1/18:0), Sphingomyelin",18193,HMR_6977,Lysine metabolism
CE2839[c],Maltodecaose,18194,HMR_0642,Glycerophospholipid metabolism
met__L[c],L-Methionine,18195,HMR_3171,Fatty acid oxidation
met__L[e],L-Methionine,18242,4MPTNLtm,"Transport, mitochondrial"
pro__L[e],L-Proline,18263,HMR_0854,Glycosphingolipid metabolism
lpchol_hs[e],1-Acyl-Sn-Glycero-3-Phosphocholine,18293,PTPATi,CoA synthesis
Rtotal2[e],R Total 2 Position,18399,HMR_3128,Fatty acid oxidation
