"mouseID","mouseGene","humanGene","humanID"
69590,"Gpx8","GPX8",493869
69634,"Clybl","CLYBL",171425
69675,"Pxdn","PXDN",7837
69698,"Slc52a3","SLC52A3",113278
69719,"Cad","CAD",790
69726,"Smyd3","SMYD3",64754
69772,"Bdh2","BDH2",56898
69875,"Ndufa11","NDUFA11",126328
69888,"Cyp2c66","CYP2C9",1559
69923,"Agk","AGK",55750
69976,"Galk2","GALK2",2585
69983,"Sis","SI",6476
70008,"Ace2","ACE2",59272
70025,"Acot7","ACOT7",11332
70059,"Degs2","DEGS2",123099
70061,"Sdr9c7","SDR9C7",121214
70266,"Ccbl1","CCBL1",883
70316,"Ndufab1","NDUFAB1",4706
70456,"Mpc2","MPC2",25874
70484,"Slc35d2","SLC35D2",11046
70503,"Ddo","DDO",8528
70750,"Kdsr","KDSR",2531
70757,"Ptplb","PTPLB",201562
70789,"Kynu","KYNU",8942
70881,"Nt5c1b","NT5C1B",93034
71147,"Oxsm","OXSM",54995
71279,"Slc29a3","SLC29A3",55315
71336,"Rbks","RBKS",64080
71412,"Dhrs2","DHRS2",10202
71522,"Ggt6","GGT6",124975
71562,"Afmid","AFMID",125061
71679,"Atp5h","ATP5H",10476
71685,"Galnt14","GALNT14",79623
71743,"Coasy","COASY",80347
71760,"Etnppl","ETNPPL",64850
71761,"Amdhd1","AMDHD1",144193
71780,"Isyna1","ISYNA1",51477
71803,"Slc25a18","SLC25A18",83733
71854,"Dpep3","DPEP3",64180
71910,"Ppapdc1b","PPAPDC1B",84513
71934,"Car13","CA13",377677
71949,"Cers5","CERS5",91012
72017,"Cyb5r1","CYB5R1",51706
72039,"Mccc1","MCCC1",56922
72054,"Cyp4f18","CYP4F2",8529
72077,"Gcnt3","GCNT3",9245
72090,"Entpd8","ENTPD8",377841
72102,"Dusp11","DUSP11",8446
72157,"Pgm2","PGM1",5236
72269,"Cda","CDA",978
72297,"B3gnt3","B3GNT3",10331
72303,"Cyp2c65","CYP2C9",1559
72401,"Slc43a1","SLC43A1",8501
72469,"Plcd3","PLCD3",113026
72472,"Slc16a10","SLC16A10",117247
72535,"Aldh1b1","ALDH1B1",219
72727,"B3gat3","B3GAT3",26229
72900,"Ndufv2","NDUFV2",4729
72961,"Slc17a7","SLC17A7",57030
73068,"Fut11","FUT11",170384
73132,"Slc25a16","SLC25A16",8034
73166,"Tm7sf2","TM7SF2",7108
73251,"Setd7","SETD7",80854
73333,"Slc25a31","SLC25A31",83447
73458,"Aldh3b3",NA,NA
73649,"Cybrd1","CYBRD1",79901
73834,"Atp6v1d","ATP6V1D",51382
73836,"Slc35b2","SLC35B2",347734
74011,"Slc25a27","SLC25A27",9481
74032,"Sdr42e1","SDR42E1",93517
74035,"Nol9","NOL9",79707
74055,"Plce1","PLCE1",51196
74080,"Nmnat3","NMNAT3",349565
74104,"Abcb6","ABCB6",10058
74114,"Crot","CROT",54677
74129,"Dmgdh","DMGDH",29958
74147,"Ehhadh","EHHADH",1962
74156,"Acot12","ACOT12",134526
74182,"Gpcpd1","GPCPD1",56261
74185,"Gbe1","GBE1",2632
74205,"Acsl3","ACSL3",2181
74241,"Chpf","CHPF",79586
74246,"Gale","GALE",2582
74302,"Mtmr3","MTMR3",8897
74338,"Slc6a19","SLC6A19",340024
74411,"Ppapdc2","PPAPDC2",403313
74419,"Tktl2","TKTL2",84076
74442,"Sgms2","SGMS2",166929
74450,"Pank2","PANK2",80025
74451,"Pgs1","PGS1",9489
74551,"Pck2","PCK2",5106
74559,"Elovl7","ELOVL7",79993
74577,"Glb1l","GLB1L",79411
74596,"Cds1","CDS1",1040
74729,"Setmar","SETMAR",6419
74754,"Dhcr24","DHCR24",1718
74769,"Pik3cb","PIK3CB",5291
74776,"Ppa2","PPA2",27068
74782,"Glt8d2","GLT8D2",83468
74915,"Atp6v1e2","ATP6V1E2",90423
75320,"Etnk1","ETNK1",55500
75406,"Ndufs7","NDUFS7",374291
75410,"Kmt2b","KMT2B",9757
75454,"Phpt1","PHPT1",29085
75475,"Oplah","OPLAH",26873
75483,"Cox8c","COX8C",341947
75497,"Fabp12","FABP12",646486
75512,"Gpx6","GPX6",257202
75572,"Acyp2","ACYP2",98
75578,"Fggy","FGGY",55277
75612,"Gns","GNS",2799
75735,"Pank1","PANK1",53354
75750,"Slc10a6","SLC10A6",345274
75769,"4833424O15Rik","LPPR5",163404
76025,"Cant1","CANT1",124583
76051,"Ganc","GANC",2595
76113,"Lpo","LPO",4025
76187,"Adhfe1","ADHFE1",137872
76238,"Grhpr","GRHPR",9380
76257,"Slc38a3","SLC38A3",10991
76267,"Fads1","FADS1",3992
76282,"Gpt","GPT",2875
76376,"Slc24a2","SLC24A2",25769
76408,"Abcc3","ABCC3",8714
76429,"Lhpp","LHPP",64077
76459,"Car12","CA12",771
76485,"Glt8d1","GLT8D1",55830
76500,"Ip6k2","IP6K2",51447
76507,"Aoc1","AOC1",26
76654,"Upp2","UPP2",151531
76668,"Mdh1b","MDH1B",130752
76687,"Spcs3","SPCS3",60559
76722,"Ckmt2","CKMT2",1160
76893,"Cers2","CERS2",29956
76898,"B3gat1","B3GAT1",27087
76952,"Nt5c2","NT5C2",22978
76969,"Chst1","CHST1",8534
77116,"Mtmr2","MTMR2",8898
77337,"Akr1c21","AKR1C1",1645
77559,"Agl","AGL",178
77626,"Smpd4","SMPD4",55627
77683,"Ehmt1","EHMT1",79813
77974,"Rdh12","RDH12",145226
78038,"Mccc2","MCCC2",64087
78070,"Cpt1c","CPT1C",126129
78174,"Cox7b2","COX7B2",170712
78330,"Ndufv3","NDUFV3",4731
78600,"Pde6h","PDE6H",5149
78752,"Csgalnact2","CSGALNACT2",55454
78754,"Galnt15","GALNT15",117248
78801,"Ak7","AK7",122481
78830,"Slc25a12","SLC25A12",8604
78894,"Aacs","AACS",65985
78914,"Nadsyn1","NADSYN1",55191
78920,"Dlst","DLST",1743
78923,"Chsy3","CHSY3",337876
78925,"Srd5a1","SRD5A1",6715
79059,"Nme3","NME3",4832
791260,"Tomt","LRTOMT",220074
79235,"Lrat","LRAT",9227
80286,"Tusc3","TUSC3",7991
80707,"Wwox","WWOX",51741
80721,"Slc19a3","SLC19A3",80704
80879,"Slc16a3","SLC16A3",9123
80911,"Acox3","ACOX3",8310
80914,"Uck2","UCK2",7371
81535,"Sgpp1","SGPP1",81537
83398,"Ndst3","NDST3",9348
83493,"Sacm1l","SACM1L",22908
83553,"Tktl1","TKTL1",8277
83603,"Elovl4","ELOVL4",6785
83702,"Akr1c6","AKR1C4",1109
83885,"Slc25a2",NA,NA
84095,"Pi4k2a","PI4K2A",55361
84505,"Setdb1","SETDB1",9869
84682,"Cox4i2","COX4I2",84701
93683,"Glce","GLCE",26035
93692,"Glrx","GLRX",2745
93732,"Acox2","ACOX2",8309
93747,"Echs1","ECHS1",1892
93898,"Cers1","CERS1",10715
93961,"B3galt5","B3GALT5",10317
94180,"Acsbg1","ACSBG1",23205
94181,"Nans","NANS",54187
94192,"C1galt1","C1GALT1",56913
94224,"Srd5a2","SRD5A2",6716
94229,"Slc4a10","SLC4A10",57282
94249,"Slc24a3","SLC24A3",57419
94284,"Ugt1a6a","UGT1A6",54578
96979,"Ptges2","PTGES2",80142
97212,"Hadha","HADHA",3030
97287,"Mtmr14","MTMR14",64419
97440,"B3gnt9","B3GNT9",84752
97884,"B3galnt2","B3GALNT2",148789
98256,"Kmo","KMO",8564
98660,"Atp1a2","ATP1A2",477
98711,"Rdh10","RDH10",157506
99439,"Duox1","DUOX1",53905
99586,"Dpyd","DPYD",1806
99712,"Cept1","CEPT1",10390
